"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3","3","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","BAT54S","","","","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds11005.pdf"
"J1","1","3.5mm_Mono_Switched","","","","elemental_jack:EighthInch_PJ398SM",""
"J2","1","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"JP1","1","NORMAL_HIGH","","Excluded from BOM","","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~"
"JP2","1","NORMAL_LOW","","Excluded from BOM","","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~"
"JP3","1","JACK_DETECT","","Excluded from BOM","","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~"
"R1,R2","2","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","100R","","","","Resistor_SMD:R_0805_2012Metric","~"
"RV2","1","RV_9mm_10k_Knurled_NoDet","","","","elemental_potentiometer:Pot_9mm_Knurl_NoDet","~"
"U1","1","TLV9061xDBV","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/tlv9061.pdf"
