Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,126.75,-62.25,90.0,top
C2,100nF,C_0805_2012Metric,124.0,-69.0,180.0,top
C3,100nF,C_0805_2012Metric,123.0,-66.8,180.0,top
C4,100nF,C_0805_2012Metric,128.75,-62.25,90.0,top
D1,BAT54S,SOT-23,115.2,-68.8,180.0,top
R1,100k,R_0805_2012Metric,124.0,-71.4,180.0,top
R2,100k,R_0805_2012Metric,120.2,-75.0,0.0,top
R3,100R,R_0805_2012Metric,119.5,-66.6,0.0,top
R4,100k,R_0805_2012Metric,120.2,-72.9,180.0,top
R5,100k,R_0805_2012Metric,124.75,-62.25,-90.0,top
R6,100k,R_0805_2012Metric,130.75,-62.25,90.0,top
R7,10k,R_0805_2012Metric,115.2,-72.5,180.0,top
U1,TLV9061xDBV,SOT-23-5,119.7,-70.0,0.0,top
