Comment,Designator,Footprint,LCSC,Quantity
10nF,C6,C_0805_2012Metric,,1
10k,R8,R_0603_1608Metric,,1
20k,R1,R_0603_1608Metric,,1
3.3k,R3,R_0603_1608Metric,,1
10uF,C4,C_1206_3216Metric,,1
10uF,C7,C_1206_3216Metric,,1
USB_C_Receptacle_PowerOnly_6P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-17,,1
5.1k,R5,R_0603_1608Metric,,1
10k,R10,R_0603_1608Metric,,1
1.8k,R12,R_0603_1608Metric,,1
10k,R2,R_0603_1608Metric,,1
10k,R4,R_0603_1608Metric,,1
5.1k,R6,R_0603_1608Metric,,1
100nF,C1,C_0603_1608Metric,,1
10k,R7,R_0603_1608Metric,,1
TLV431AIDBZR,U2,SOT-23-3,,1
10k,R9,R_0603_1608Metric,,1
600R@100MHz,FB1,L_0805_2012Metric,,1
SPX3819M5-L-3-3,U3,SOT-23-5,,1
100pF,C2,C_0603_1608Metric,,1
10uF,C5,C_1206_3216Metric,,1
100nF,C3,C_0603_1608Metric,,1
100R,R11,R_0603_1608Metric,,1
TLV9062IDR,U1,SOIC-8_3.9x4.9mm_P1.27mm,,1
